,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
106,Bloom Boutique l GK-1,"Greater Kailash 1, New Delhi",8.0,Very good,84 reviews,9.8 km from centre,No Metro Access,"Operating a 24-hour front desk, Bloom Boutique l GK-1 offers free Wi-Fi throughout the property. It features rooms with flat-screen satellite TV and tea/coffee maker."
107,Airport Hotel Paramont Luxury Dream Delhi,"Mahipalpur, New Delhi",8.5,Very good,30 reviews,13.2 km from centre,No Metro Access,"Conveniently located in the Mahipalpur district of New Delhi, Airport Hotel Paramont Luxury Dream Delhi is set 11 km from Qutub Minar, 12 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
108,Anara Service Apartments - Greater Kailash Part II,"South Delhi, New Delhi",8.5,Very good,57 reviews,10.6 km from centre,Metro access,"Anara Service Apartments - Greater Kailash Part II in New Delhi is situated 3.4 km from Lotus Temple and features air-conditioned accommodation with free WiFi, as well as access to a sun terrace."
109,Sumedha Premium opposite GK Metro,"South Delhi, New Delhi",8.0,Very good,186 reviews,10.5 km from centre,Metro access,"Located in New Delhi, 3.5 km from Lotus Temple, Sumedha Premium opposite GK Metro provides accommodation with a restaurant, free private parking, a shared lounge and a terrace."
110,"Red Fox Hotel, Delhi Airport","South West, New Delhi",7.6,Good,744 reviews,13.6 km from centre,Metro access,"The Red Fox Hotel, Delhi Aerocity set in Aerocity Near Delhi Airport offers modern air-conditioned rooms with a flat-screen TV. A fitness centre and 24-hour room service are available."
111,goSTOPS Delhi,"Chandni Chowk, New Delhi",7.9,Good,"1,085 reviews",1.7 km from centre,Metro access,"Located in central New Delhi, goSTOPS Delhi provides a 24-hour front desk for the convenience of the guests. Free WiFi access is available in this self-catering accommodations."
112,Zostel Delhi,"Paharganj, New Delhi",7.9,Good,743 reviews,1.3 km from centre,No Metro Access,"Zostel Delhi is a backpackers hostel located in New Delhi, just 500 metres from the New Delhi Railway Station. Free WiFi access is available. Each room here will provide you with air conditioning."
113,"City Empire, New Delhi","Paharganj, New Delhi",7.9,Good,"1,112 reviews",1.2 km from centre,No Metro Access,"Hotel City Empire, New Delhi is located in the Paharganj district in New Delhi, 2 metres from New Delhi Railway Station and 4.5 km from Jantar Mantar. Guests can enjoy the on-site restaurant."
114,The Grand Vikalp by Orion Hotels,"Greater Kailash 1, New Delhi",7.8,Good,200 reviews,9.8 km from centre,No Metro Access,"Situated in New Delhi, The Grand Vikalp by Orion Hotels is 2 km from Lotus Temple, which features architecture in the shape of a lotus. It offers 24-hour room service and complimentary private..."
115,Indus Biznotel,"Greater Kailash 1, New Delhi",7.8,Good,117 reviews,9.8 km from centre,No Metro Access,"Located 4 km from the famous Lotus Temple and historic Qutub Minar, Indus Biznotel offers a 24-hour front desk and free Wi-Fi in all areas. The Akshardham Temple is 10 km from the property."
116,Hotel Airport City,"Mahipalpur, New Delhi",8.0,Very good,139 reviews,13.6 km from centre,No Metro Access,"10 km from Qutub Minar, Hotel Airport City is set in New Delhi and features free WiFi, express check-in and check-out and a tour desk."
117,Fraser Suites New Delhi,"Mayur Vihar Phase 1, New Delhi",7.8,Good,579 reviews,8.1 km from centre,Metro access,"Boasting an outdoor pool and gym, Fraser Suites New Delhi is situated in Mayur Vihar, just 4 km from Akshardham Temple. Self-catering units feature free Wi-Fi, iPod docks and buffet breakfasts."
118,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",8.1,Very good,276 reviews,16.8 km from centre,No Metro Access,"Equipped with a well-maintained swimming pool and a fitness centre, The Four Points by Sheraton New Delhi, Airport Highway is 5 km from the Indira Gandhi International Airport. Free WiFi is available...."
119,Olive Service Apartments - Greater Kailash,"Greater Kailash 1, New Delhi",8.4,Very good,45 reviews,9.2 km from centre,No Metro Access,"Offering self-catering accommodation with air conditioning, Olive Service Apartments – Greater Kailash is located in South Delhi. Free WiFi is available throughout the property."
120,"Country Inn & Suites by Radisson, Delhi Satbari","South Delhi, New Delhi",7.9,Good,169 reviews,18.3 km from centre,No Metro Access,"Situated just 10 km from Indira Gandhi International Airport, the Country Inn & Suites Satbari offers luxurious accommodation with an outdoor swimming pool, a gym and free Wi-Fi."
121,Capital O 10824 Hotel Star Suites,"Chattarpur, New Delhi",7.5,Good,61 reviews,15.2 km from centre,No Metro Access,"Conveniently located in the Chattarpur district of New Delhi, Capital O 10824 Hotel Star Suites is set 3.9 km from Qutub Minar, 12 km from Lodhi Gardens and 12 km from Lotus Temple."
122,Nu Delhi Homestay,"Malviya Nagar, New Delhi",8.2,Very good,38 reviews,11.5 km from centre,Metro access,"Situated in New Delhi, Nu Delhi Homestay features garden views and free WiFi, 2.8 km from Qutub Minar and 7 km from Lotus Temple. All units feature air conditioning and a satellite flat-screen TV."
123,Staybook-Hotel Salt New Delhi Airport,"Mahipalpur, New Delhi",8.0,Very good,112 reviews,13.3 km from centre,No Metro Access,"Set in New Delhi, 10 km from Qutub Minar, Salt New Delhi International Airport by Staybook offers accommodation with a restaurant, free private parking, a bar and a garden."
124,Colonel's Retreat 2,"South Delhi, New Delhi",8.5,Very good,47 reviews,6.7 km from centre,No Metro Access,"Set in New Delhi, 4 km from Lodhi Gardens, and Humayun's Tomb reachable within 4.1 km, Colonel's Retreat 2 offers a shared lounge, a terrace and free WiFi."
125,Hotel Palm Greens,"Saket, New Delhi",8.1,Very good,53 reviews,12.6 km from centre,No Metro Access,"Situated within 4.1 km of Qutub Minar and 7 km of Lotus Temple, Hotel Palm Greens features rooms with air conditioning and a shared bathroom in New Delhi."
126,"Hotel Nitya Maharani "" Couple Friendly "" Vaccinated Staff""","Paharganj, New Delhi",8.5,Very good,146 reviews,1.5 km from centre,No Metro Access,"Located in New Delhi, New Delhi Railway Station from Hotel is 400 Meter, 2 km from Jama Masjid, Hotel Nitya Maharani "" Couple Friendly "" Vaccinated Staff"" - Live the Life provides accommodation with a..."
127,Maplewood Guest House,"South Delhi, New Delhi",8.1,Very good,59 reviews,8.7 km from centre,No Metro Access,"Situated in New Delhi, within 6 km of Qutub Minar and 6 km of Lotus Temple, Maplewood Guest House features accommodation with a shared lounge and free WiFi as well as free private parking for guests..."
128,OYO 10274 Hotel Aamara,"Mahipalpur, New Delhi",7.6,Good,81 reviews,13.1 km from centre,No Metro Access,OYO 10274 Hotel Aamara features air-conditioned rooms with cable TV in the Mahipalpur district of New Delhi. This 3-star hotel offers room service. The hotel features family rooms.
129,Hotel Aamara By WOWSTOPS,"South West, New Delhi",7.9,Good,40 reviews,15.5 km from centre,No Metro Access,"Located in New Delhi, within 11 km of Qutub Minar and 12 km of Rashtrapati Bhavan, Hotel Aamara By WOWSTOPS provides accommodation with a shared lounge and free WiFi as well as free private parking..."
130,Hotel Kaushal Palace,"Paharganj, New Delhi",7.8,Good,148 reviews,1.2 km from centre,Metro access,"Set in New Delhi, within 1.9 km of Gurudwara Bangla Sahib and 2.9 km of Jama Masjid, Hotel Kaushal Palace provides accommodation with a shared lounge and free WiFi."
131,"Hotel Tara Palace, Chandni Chowk","North Delhi, New Delhi",7.7,Good,245 reviews,2.4 km from centre,Metro access,Hotel Tara Palace has a rooftop offering views of heritage monuments such as Red Fort and Jama Masjid which are within 400 metres away. Free Wi-Fi is provided in all areas.
132,FabHotel Namaste BnB & Service Apartments Vasant Vihar,"Vasant Vihar, New Delhi",7.6,Good,263 reviews,9.3 km from centre,No Metro Access,"Situated in New Delhi, within 7 km of Gandhi Smriti and 8 km of Rashtrapati Bhavan, FabHotel Namaste BnB & Service Apartments Vasant Vihar provides accommodation with a terrace and free WiFi as well..."
133,FabHotel Floyd - Fully Vaccinated Staff,"South Delhi, New Delhi",8.4,Very good,42 reviews,8.3 km from centre,No Metro Access,"Conveniently located in the South Delhi district of New Delhi, FabHotel Floyd is set 3.3 km from Lotus Temple, 6 km from Humayun's Tomb and 6 km from Lodhi Gardens."
134,"Welcomhotel by ITC Hotels, Dwarka, New Delhi","Dwarka, New Delhi",7.5,Good,"1,430 reviews",17 km from centre,Metro access,"Located in Asia's largest sub-city of Dwarka, WelcomeHotel offers modern rooms. Guests enjoy free access to the gym and seasonal outdoor pool. The 24-hour cafe also caters for 24-hour room service."
135,JRD Pride,"South Delhi, New Delhi",7.6,Good,178 reviews,6.5 km from centre,No Metro Access,"Featuring a fitness centre, shared lounge and views of city, JRD Pride is set in New Delhi, 2.3 km from Humayun's Tomb."
136,Hotel York Legacy -3 Minutes Walk From New Delhi Railway Station 'THE 5 STAR AMBIENCE' NEWLY BUILT,"Paharganj, New Delhi",8.4,Very good,822 reviews,1 km from centre,No Metro Access,"Ideally situated in the Paharganj district of New Delhi, Hotel York Legacy -3 Minutes Walk From New Delhi Railway Station 'THE 5 STAR AMBIENCE' NEWLY BUILT is situated 2.7 km from Jantar Mantar, 3.2..."
137,FabHotel Aries Delhi Airport,"Mahipalpur, New Delhi",7.9,Good,490 reviews,13.2 km from centre,No Metro Access,"Situated in New Delhi, within 11 km of Qutub Minar and 13 km of Gandhi Smriti, FabHotel Aries Delhi Airport features accommodation with a terrace and as well as free private parking for guests who..."
138,Hotel Gracious A Unit of Vishesh Hotels,"Mahipalpur, New Delhi",8.8,Fabulous,11 reviews,13.6 km from centre,No Metro Access,Hotel Gracious A Unit of Vishesh Hotels features air-conditioned rooms with satellite flat-screen TV in the Mahipalpur district of New Delhi.
139,The Orion Plaza - Nehru Place,"South Delhi, New Delhi",7.7,Good,454 reviews,10.3 km from centre,Metro access,"Located in New Delhi, 1.7 km from Lotus Temple, The Orion Plaza - Nehru Place provides accommodation with a restaurant, free private parking, a garden and a terrace."
140,FabHotel Anutham Saket,"Saket, New Delhi",8.1,Very good,101 reviews,12.6 km from centre,No Metro Access,"FabHotel Anutham Saket offers modern self-catering units in Saket, South Delhi’s entertainment and business hub. Featuring free Wi-Fi and free parking, it has a 24-hour front desk and tour services."
141,Hotel New Rajdhani Inn - Couple Friendly Stays,"South Delhi, New Delhi",8.2,Very good,5 reviews,7.8 km from centre,Metro access,"Situated in New Delhi, 3.5 km from Lotus Temple, Hotel New Rajdhani Inn - Couple Friendly Stays offers accommodation with free WiFi and free private parking."
142,Ameya Suites New Delhi,"Jasola, New Delhi",7.9,Good,81 reviews,12.6 km from centre,No Metro Access,"Ameya Suites New Delhi in New Delhi provides adults-only accommodation with a restaurant, a garden and a terrace. This 4-star hotel offers a concierge service and valet parking."
143,East End Retreat,"East Delhi, New Delhi",8.4,Very good,20 reviews,6.9 km from centre,Metro access,"East End Retreat is located 1 km from Preet Vihar Bus Station, New Delhi. It offers shared kitchen where guests can cook for themselves. Free Wi-Fi access is available throughout the property."
144,Ibis New Delhi International Airport,"South West, New Delhi",7.5,Good,"4,535 reviews",13.4 km from centre,Metro access,ibis New Delhi Aerocity offers modern rooms at just a 10-minute drive from Delhi International Airport. Worldmark is 100 metres away while the Airport Express Metro Station is 500 metres away.
145,Kuldeep Friends Hostel,"Paharganj, New Delhi",7.8,Good,687 reviews,1.1 km from centre,Metro access,Kuldeep Friends Hostel is located in New Delhi. Free Wi-Fi access is available. The property is located 500-metres from New Delhi Railway Station. Indira Gandhi International Airport is 14 km away.
146,Vaccinated Staff- Capital O 24252 Rove n Salt,"Mahipalpur, New Delhi",9.4,Superb,34 reviews,13.3 km from centre,No Metro Access,"Featuring a shared lounge, Vaccinated Staff- Capital O 24252 Rove n Salt is set in New Delhi in the Delhi NCR region, 10 km from Qutub Minar and 15 km from Gurudwara Bangla Sahib."
147,Hotel Airport city palace,"Mahipalpur, New Delhi",9.0,Superb,146 reviews,13.6 km from centre,No Metro Access,"Hotel Airport city palace features air-conditioned rooms with satellite flat-screen TV in the Mahipalpur district of New Delhi. With free WiFi, this 4-star hotel offers valet parking and a tour desk."
148,Olive Service Apartments Saket,"Saket, New Delhi",8.1,Very good,36 reviews,12.5 km from centre,Metro access,"Offering self-catering accommodation with air conditioning, Olive Service Apartments Saket is located in New Delhi. The Saket Metro Station is a 10-minute walk from the property."
149,Jaypee Vasant Continental,"Vasant Vihar, New Delhi",7.6,Good,549 reviews,10.4 km from centre,Metro access,"The 5-star Jaypee Vasant Continental is located in New Delhi, 1.1 km from Basant Lok Shopping Complex. It features an outdoor swimming pool, 3 dining options, and free parking."
150,Atrio Hotel,"South West, New Delhi",7.8,Good,192 reviews,17.6 km from centre,No Metro Access,"Located within 18 km of Qutub Minar and 17 km of Rashtrapati Bhavan, Atrio Hotel in New Delhi provides a garden and rooms with free WiFi."
151,The Ashtan Sarovar Portico,"South Delhi, New Delhi",7.8,Good,377 reviews,8.6 km from centre,Metro access,The Ashtan Sarovar Portico is located in South Delhi 100 metres from the metro station. This boutique hotel offers free WiFi and private parking. It houses a business center and a restaurant on-site.
152,Bajaj Indian Home Stay,"Karol bagh, New Delhi",8.0,Very good,43 reviews,3.9 km from centre,Metro access,"Set just 4 km away from New Delhi Railway Station, Bajaj Indian Home Stay features a business centre and free Wi-Fi access, available throughout the property."
153,Inn Tawang Near BLK Hospital Karol Bagh,"Karol bagh, New Delhi",8.2,Very good,50 reviews,4.1 km from centre,Metro access,"Offering a spa and a wellness centre, Hotel Inn Twang is located 3.5 km from the New Delhi Railway Station. Free WiFi access is available in public areas."
154,Hotel City Lite Near IGI Airport Delhi,"South West, New Delhi",6.7,Review score,48 reviews,14.9 km from centre,No Metro Access,"Set in New Delhi, 9 km from Qutub Minar, Hotel City Lite Near IGI Airport Delhi offers accommodation with a bar, free private parking, a shared lounge and a garden."
155,Hotel Tourist Deluxe,"Paharganj, New Delhi",7.9,Good,181 reviews,1.4 km from centre,No Metro Access,"A 5-minute walk to the city centre and New Delhi Railway Station, Hotel Tourist Deluxe offers 3 dining options and a 24-hour front desk. Free Wi-Fi access is provided."
